experiment_cohort,day_of_experiment,device_type,gender,region,age,total_artists_last_100_days,minutes_listening_during_experiment,user_id
treatment,1,mobile,F,west,20.1,94,77,134988619
treatment,1,mobile,F,west,28.4,26,81.3,156096159
treatment,1,mobile,F,west,38.1,19,89.8,455576462
treatment,1,mobile,F,west,21.2,54,61.4,651999883
control,1,mobile,F,west,19.9,74,45,444707335
control,1,mobile,F,west,20.2,35,75.2,185785839
control,1,mobile,F,west,25.4,59,67.5,604505781
control,1,mobile,F,west,50.2,49,60.9,145906092
control,2,mobile,F,west,29,78,70.7,90233975
control,3,mobile,F,west,26,74,65.1,564511453
treatment,4,mobile,F,west,29.3,42,72.2,683410923
control,5,mobile,F,west,24,174,61,218082091
treatment,6,mobile,F,west,60.2,132,56.2,282542751
control,6,mobile,F,west,21.2,81,65.9,115069492
treatment,7,mobile,F,west,26.1,76,69.8,405534288
control,7,mobile,F,west,22.2,165,55.2,680073577
control,7,mobile,F,west,18.8,265,55.1,93247685
control,7,mobile,F,west,47.8,78,58.1,457229716
control,7,mobile,F,west,35.5,67,59.2,337897199
control,7,mobile,F,west,22.3,90,58.2,544594706
treatment,8,mobile,F,west,20.2,219,55.2,340085814
control,8,mobile,F,west,32.3,130,53.5,284627747
treatment,10,mobile,F,west,20.6,141,68.4,580912763
control,10,mobile,F,west,27.7,48,51.8,451608524
control,10,mobile,F,west,24.7,63,57.5,570740584
control,10,mobile,F,west,39.9,98,56.5,359568483
treatment,11,mobile,F,west,32,72,65.4,166846489
treatment,11,mobile,F,west,40.6,60,84,316113935
treatment,11,mobile,F,west,32.5,89,56.5,561231358
control,12,mobile,F,west,24.8,98,58,634178083
control,12,mobile,F,west,19.5,43,45.8,303480317
control,12,mobile,F,west,21.4,217,55.1,661889597
treatment,13,mobile,F,west,19.8,37,77.1,521069360
control,13,mobile,F,west,34.2,101,61.1,322607042
control,13,mobile,F,west,36.7,72,58.4,310586535
treatment,14,mobile,F,west,39.6,109,98.6,245969790
treatment,14,mobile,F,west,28.8,46,90.4,416780938
treatment,14,mobile,F,west,26,283,50.5,594204618
treatment,15,mobile,F,west,33.2,51,60.2,408637744
treatment,15,mobile,F,west,40.2,59,67.7,479344840
control,15,mobile,F,west,31.5,133,59.5,691150214
treatment,16,mobile,F,west,29.4,82,90.7,447436862
control,16,mobile,F,west,22.8,69,61.5,123888396
control,16,mobile,F,west,47.2,95,59.6,308655063
control,16,mobile,F,west,49.2,47,57.2,706828651
control,17,mobile,F,west,25.6,111,63.8,510989883
control,17,mobile,F,west,31.1,73,64.6,565490464
control,19,mobile,F,west,34.3,123,44.6,655731020
control,20,mobile,F,west,35.1,156,47.7,356123103
control,20,mobile,F,west,21.2,72,52.3,252600525
treatment,21,mobile,F,west,24.2,73,86,647153937
treatment,21,mobile,F,west,35.6,178,72,635078820
treatment,21,mobile,F,west,35.8,49,85.8,86792518
control,21,mobile,F,west,39.5,39,62.8,105348758
control,21,mobile,F,west,20.1,112,51.4,391279348
control,22,mobile,F,west,21.9,49,54.6,509789310
treatment,23,mobile,F,west,22.8,181,66,486450204
control,23,mobile,F,west,23.2,187,51.5,579559175
